position,title
Q3402177,First Lady
Q40746590,ambassador to Belgium
Q40338357,ambassador to Canada
Q27439265,ambassador to France
Q110726218,ambassador to Israel
Q40749059,ambassador to Italy
Q51024460,ambassador to Japan
Q40748283,ambassador to Mexico
Q40746684,ambassador to Portugal
Q30433293,ambassador to Russia
Q40747104,ambassador to the Soviet Union
Q110725881,ambassador to Spain
Q40748453,ambassador to Syria
Q40749334,ambassador to the United Kingdom
Q40746496,ambassador to the United States of America
